antecedents,consequents,confidence
citrus fruit,pip fruit,0.167076167
rolls/buns,citrus fruit,0.091210614
citrus fruit,rolls/buns,0.202702703
root vegetables,citrus fruit,0.162313433
citrus fruit,root vegetables,0.213759214
sausage,citrus fruit,0.12012987
citrus fruit,sausage,0.136363636
soda,citrus fruit,0.073469388
citrus fruit,soda,0.154791155
tropical fruit,citrus fruit,0.189922481
citrus fruit,tropical fruit,0.240786241
whipped/sour cream,citrus fruit,0.15177305
citrus fruit,whipped/sour cream,0.131449631
whole milk,citrus fruit,0.119379228
citrus fruit,whole milk,0.368550369
citrus fruit,yogurt,0.261670762
yogurt,citrus fruit,0.155247813
coffee,other vegetables,0.23117338
other vegetables,coffee,0.069364162
coffee,rolls/buns,0.189141856
coffee,whole milk,0.322241681
whole milk,coffee,0.07321926
other vegetables,cream cheese,0.07094062
cream cheese,other vegetables,0.346153846
whole milk,cream cheese,0.064464783
cream cheese,whole milk,0.415384615
cream cheese,yogurt,0.312820513
yogurt,cream cheese,0.088921283
curd,other vegetables,0.322519084
other vegetables,curd,0.088807147
curd,rolls/buns,0.188931298
root vegetables,curd,0.099813433
curd,root vegetables,0.204198473
curd,tropical fruit,0.192748092
tropical fruit,curd,0.097868217
whipped/sour cream,curd,0.146099291
curd,whipped/sour cream,0.196564885
curd,whole milk,0.490458015
whole milk,curd,0.102268205
curd,yogurt,0.324427481
yogurt,curd,0.123906706
dessert,other vegetables,0.312328767
dessert,whole milk,0.369863014
domestic eggs,other vegetables,0.350961538
other vegetables,domestic eggs,0.11508145
rolls/buns,domestic eggs,0.085129906
domestic eggs,rolls/buns,0.246794872
root vegetables,domestic eggs,0.131529851
domestic eggs,root vegetables,0.225961538
soda,domestic eggs,0.071137026
domestic eggs,soda,0.195512821
tropical fruit,domestic eggs,0.108527132
domestic eggs,tropical fruit,0.179487179
whole milk,domestic eggs,0.117389574
domestic eggs,whole milk,0.47275641
domestic eggs,yogurt,0.225961538
yogurt,domestic eggs,0.102769679
other vegetables,frankfurter,0.085128744
frankfurter,other vegetables,0.279310345
rolls/buns,frankfurter,0.104477612
frankfurter,rolls/buns,0.325862069
root vegetables,frankfurter,0.093283582
frankfurter,root vegetables,0.172413793
sausage,frankfurter,0.107142857
frankfurter,sausage,0.170689655
soda,frankfurter,0.064723032
frankfurter,soda,0.19137931
whole milk,frankfurter,0.080382014
frankfurter,whole milk,0.348275862
frankfurter,yogurt,0.189655172
yogurt,frankfurter,0.080174927
other vegetables,frozen vegetables,0.091960063
frozen vegetables,other vegetables,0.369978858
frozen vegetables,rolls/buns,0.21141649
root vegetables,frozen vegetables,0.106343284
frozen vegetables,root vegetables,0.241014799
whole milk,frozen vegetables,0.079984083
frozen vegetables,whole milk,0.424947146
yogurt,frozen vegetables,0.088921283
frozen vegetables,yogurt,0.257928118
fruit/vegetable juice,other vegetables,0.291139241
other vegetables,fruit/vegetable juice,0.108775617
rolls/buns,fruit/vegetable juice,0.079049198
fruit/vegetable juice,rolls/buns,0.201125176
root vegetables,fruit/vegetable juice,0.110074627
fruit/vegetable juice,root vegetables,0.165963432
fruit/vegetable juice,sausage,0.139240506
sausage,fruit/vegetable juice,0.107142857
shopping bags,fruit/vegetable juice,0.108359133
fruit/vegetable juice,shopping bags,0.147679325
soda,fruit/vegetable juice,0.105539359
fruit/vegetable juice,soda,0.254571027
fruit/vegetable juice,tropical fruit,0.189873418
tropical fruit,fruit/vegetable juice,0.130813953
fruit/vegetable juice,whole milk,0.368495077
whole milk,fruit/vegetable juice,0.104257859
fruit/vegetable juice,yogurt,0.258790436
yogurt,fruit/vegetable juice,0.134110787
ham,whole milk,0.44140625
hamburger meat,other vegetables,0.415902141
other vegetables,hamburger meat,0.071466106
hamburger meat,whole milk,0.443425076
hard cheese,whole milk,0.410788382
hygiene articles,whole milk,0.388888889
long life bakery product,other vegetables,0.285326087
long life bakery product,whole milk,0.361413043
other vegetables,margarine,0.101944298
margarine,other vegetables,0.336805556
rolls/buns,margarine,0.080154782
margarine,rolls/buns,0.251736111
root vegetables,margarine,0.101679104
margarine,root vegetables,0.189236111
margarine,soda,0.173611111
whole milk,margarine,0.094707521
margarine,whole milk,0.413194444
margarine,yogurt,0.243055556
yogurt,margarine,0.102040816
other vegetables,napkins,0.074619023
napkins,other vegetables,0.275728155
rolls/buns,napkins,0.063571034
napkins,rolls/buns,0.223300971
soda,napkins,0.068804665
napkins,soda,0.229126214
tropical fruit,napkins,0.095930233
napkins,tropical fruit,0.19223301
whole milk,napkins,0.077198567
napkins,whole milk,0.376699029
napkins,yogurt,0.234951456
yogurt,napkins,0.08819242
newspapers,other vegetables,0.242038217
other vegetables,newspapers,0.099842354
rolls/buns,newspapers,0.10724157
newspapers,rolls/buns,0.247133758
root vegetables,newspapers,0.105410448
newspapers,root vegetables,0.143949045
soda,newspapers,0.083965015
newspapers,soda,0.18343949
newspapers,tropical fruit,0.147770701
tropical fruit,newspapers,0.112403101
newspapers,whole milk,0.342675159
whole milk,newspapers,0.107043374
newspapers,yogurt,0.192356688
yogurt,newspapers,0.110058309
oil,whole milk,0.402173913
onions,other vegetables,0.459016393
other vegetables,onions,0.07356805
onions,whole milk,0.390163934
pastry,other vegetables,0.253714286
other vegetables,pastry,0.116657909
pip fruit,other vegetables,0.345430108
other vegetables,pip fruit,0.135049921
pork,other vegetables,0.375661376
other vegetables,pork,0.111928534
rolls/buns,other vegetables,0.231619679
other vegetables,rolls/buns,0.220178665
root vegetables,other vegetables,0.434701493
other vegetables,root vegetables,0.244876511
salty snack,other vegetables,0.284946237
sausage,other vegetables,0.286796537
other vegetables,sausage,0.13925381
shopping bags,other vegetables,0.235294118
other vegetables,shopping bags,0.119810825
soda,other vegetables,0.187755102
other vegetables,soda,0.169206516
sugar,other vegetables,0.318318318
tropical fruit,other vegetables,0.342054264
other vegetables,tropical fruit,0.185496584
waffles,other vegetables,0.261904762
whipped/sour cream,other vegetables,0.402836879
other vegetables,whipped/sour cream,0.149238045
white bread,other vegetables,0.326086957
other vegetables,white bread,0.07094062
whole milk,other vegetables,0.292877039
other vegetables,whole milk,0.386757751
other vegetables,yogurt,0.224382554
yogurt,other vegetables,0.31122449
pip fruit,pastry,0.141129032
pastry,pip fruit,0.12
rolls/buns,pastry,0.113875069
pastry,rolls/buns,0.235428571
root vegetables,pastry,0.100746269
pastry,root vegetables,0.123428571
pastry,sausage,0.140571429
sausage,pastry,0.133116883
shopping bags,pastry,0.120743034
pastry,shopping bags,0.133714286
soda,pastry,0.120699708
pastry,soda,0.236571429
pastry,tropical fruit,0.148571429
tropical fruit,pastry,0.125968992
pastry,whole milk,0.373714286
whole milk,pastry,0.130123359
pastry,yogurt,0.198857143
yogurt,pastry,0.126822157
pip fruit,rolls/buns,0.184139785
rolls/buns,pip fruit,0.075732449
pip fruit,root vegetables,0.205645161
root vegetables,pip fruit,0.142723881
pip fruit,sausage,0.142473118
sausage,pip fruit,0.114718615
pip fruit,soda,0.176075269
soda,pip fruit,0.07638484
pip fruit,tropical fruit,0.27016129
tropical fruit,pip fruit,0.194767442
pip fruit,whole milk,0.397849462
whole milk,pip fruit,0.117787505
pip fruit,yogurt,0.237903226
yogurt,pip fruit,0.129008746
rolls/buns,pork,0.061359867
pork,rolls/buns,0.195767196
root vegetables,pork,0.125
pork,root vegetables,0.23633157
soda,pork,0.068221574
pork,soda,0.206349206
whole milk,pork,0.086748906
pork,whole milk,0.384479718
rolls/buns,root vegetables,0.132117192
root vegetables,rolls/buns,0.222947761
rolls/buns,sausage,0.166390271
sausage,rolls/buns,0.325757576
shopping bags,rolls/buns,0.198142415
rolls/buns,shopping bags,0.106135987
rolls/buns,soda,0.208402432
soda,rolls/buns,0.219825073
rolls/buns,tropical fruit,0.133775567
tropical fruit,rolls/buns,0.234496124
whipped/sour cream,rolls/buns,0.204255319
rolls/buns,whipped/sour cream,0.07960199
rolls/buns,whole milk,0.30790492
whole milk,rolls/buns,0.221647433
rolls/buns,yogurt,0.18684356
yogurt,rolls/buns,0.246355685
root vegetables,sausage,0.137126866
sausage,root vegetables,0.159090909
shopping bags,root vegetables,0.13003096
root vegetables,shopping bags,0.117537313
soda,root vegetables,0.106705539
root vegetables,soda,0.170708955
root vegetables,tropical fruit,0.193097015
tropical fruit,root vegetables,0.200581395
whipped/sour cream,root vegetables,0.238297872
root vegetables,whipped/sour cream,0.156716418
root vegetables,whole milk,0.44869403
whole milk,root vegetables,0.191404696
root vegetables,yogurt,0.236940299
yogurt,root vegetables,0.185131195
salty snack,whole milk,0.295698925
shopping bags,sausage,0.158926729
sausage,shopping bags,0.166666667
soda,sausage,0.139358601
sausage,soda,0.258658009
tropical fruit,sausage,0.132751938
sausage,tropical fruit,0.148268398
sausage,whole milk,0.318181818
whole milk,sausage,0.116991643
sausage,yogurt,0.208874459
yogurt,sausage,0.140670554
shopping bags,soda,0.249742002
soda,shopping bags,0.141107872
shopping bags,tropical fruit,0.137254902
tropical fruit,shopping bags,0.128875969
shopping bags,whole milk,0.24871001
whole milk,shopping bags,0.095901313
shopping bags,yogurt,0.154798762
yogurt,shopping bags,0.109329446
sliced cheese,whole milk,0.439834025
soda,tropical fruit,0.119533528
tropical fruit,soda,0.198643411
whipped/sour cream,soda,0.161702128
soda,whipped/sour cream,0.066472303
white bread,soda,0.243961353
soda,whole milk,0.229737609
whole milk,soda,0.156784719
soda,yogurt,0.156851312
yogurt,soda,0.19606414
sugar,whole milk,0.444444444
whipped/sour cream,tropical fruit,0.192907801
tropical fruit,whipped/sour cream,0.131782946
tropical fruit,whole milk,0.403100775
whole milk,tropical fruit,0.165539196
tropical fruit,yogurt,0.279069767
yogurt,tropical fruit,0.209912536
waffles,whole milk,0.330687831
whipped/sour cream,whole milk,0.44964539
whole milk,whipped/sour cream,0.126144051
whipped/sour cream,yogurt,0.289361702
yogurt,whipped/sour cream,0.148688047
white bread,whole milk,0.405797101
whole milk,white bread,0.066852368
whole milk,yogurt,0.219259849
yogurt,whole milk,0.401603499
bottled water,other vegetables,0.313609467
bottled water,whole milk,0.43442623
whole milk,bottled water,0.144021739
bottled water,whole milk,0.097516099
butter,other vegetables,0.41697417
butter,whole milk,0.573604061
whole milk,butter,0.153532609
butter,whole milk,0.20733945
root vegetables,citrus fruit,0.21888412
root vegetables,other vegetables,0.586206897
other vegetables,root vegetables,0.35915493
root vegetables,other vegetables,0.095149254
citrus fruit,root vegetables,0.125307125
whole milk,citrus fruit,0.173913043
whole milk,other vegetables,0.426666667
other vegetables,whole milk,0.450704225
other vegetables,whole milk,0.067262218
citrus fruit,whole milk,0.157248157
whole milk,yogurt,0.336666667
whole milk,citrus fruit,0.183303085
citrus fruit,whole milk,0.474178404
citrus fruit,whole milk,0.124078624
yogurt,whole milk,0.07361516
curd,yogurt,0.385214008
curd,whole milk,0.582352941
whole milk,curd,0.179673321
curd,whole milk,0.188931298
yogurt,curd,0.072157434
whole milk,other vegetables,0.410169492
whole milk,domestic eggs,0.164402174
domestic eggs,whole milk,0.552511416
domestic eggs,whole milk,0.193910256
other vegetables,whole milk,0.063583815
fruit/vegetable juice,other vegetables,0.393129771
fruit/vegetable juice,whole milk,0.497584541
whole milk,fruit/vegetable juice,0.139945652
fruit/vegetable juice,whole milk,0.144866385
pastry,other vegetables,0.318042813
pastry,whole milk,0.468468468
whole milk,pastry,0.141304348
pastry,whole milk,0.118857143
pip fruit,other vegetables,0.449324324
pip fruit,whole milk,0.517509728
whole milk,pip fruit,0.180706522
pip fruit,whole milk,0.178763441
other vegetables,pip fruit,0.069889648
whole milk,other vegetables,0.458715596
whole milk,pork,0.135869565
pork,whole milk,0.469483568
pork,whole milk,0.176366843
rolls/buns,other vegetables,0.50209205
rolls/buns,root vegetables,0.286396181
root vegetables,rolls/buns,0.25751073
rolls/buns,root vegetables,0.066334992
root vegetables,rolls/buns,0.111940299
other vegetables,rolls/buns,0.063058329
rolls/buns,other vegetables,0.315978456
rolls/buns,whole milk,0.420047733
whole milk,rolls/buns,0.239130435
rolls/buns,whole milk,0.097291321
whole milk,rolls/buns,0.070035814
other vegetables,rolls/buns,0.092485549
rolls/buns,yogurt,0.269689737
rolls/buns,other vegetables,0.334319527
other vegetables,rolls/buns,0.264637002
rolls/buns,other vegetables,0.062465451
yogurt,rolls/buns,0.082361516
root vegetables,other vegetables,0.584541063
root vegetables,tropical fruit,0.259656652
tropical fruit,root vegetables,0.342776204
root vegetables,tropical fruit,0.112873134
tropical fruit,root vegetables,0.117248062
other vegetables,root vegetables,0.063583815
root vegetables,other vegetables,0.474012474
root vegetables,whole milk,0.489270386
whole milk,root vegetables,0.309782609
root vegetables,whole milk,0.212686567
whole milk,root vegetables,0.090728213
other vegetables,root vegetables,0.119810825
root vegetables,yogurt,0.272532189
root vegetables,other vegetables,0.5
other vegetables,root vegetables,0.297423888
root vegetables,other vegetables,0.118470149
other vegetables,root vegetables,0.066736731
yogurt,root vegetables,0.092565598
sausage,whole milk,0.377358491
sausage,other vegetables,0.340136054
whole milk,sausage,0.135869565
sausage,whole milk,0.108225108
soda,other vegetables,0.347715736
soda,whole milk,0.425465839
whole milk,soda,0.186141304
soda,whole milk,0.079883382
other vegetables,soda,0.071991592
tropical fruit,other vegetables,0.403846154
tropical fruit,whole milk,0.47592068
whole milk,tropical fruit,0.22826087
tropical fruit,whole milk,0.162790698
whole milk,tropical fruit,0.066852368
other vegetables,tropical fruit,0.088281661
tropical fruit,yogurt,0.342776204
tropical fruit,other vegetables,0.420138889
other vegetables,tropical fruit,0.283372365
tropical fruit,other vegetables,0.117248062
other vegetables,tropical fruit,0.063583815
yogurt,tropical fruit,0.08819242
whipped/sour cream,other vegetables,0.454258675
whipped/sour cream,whole milk,0.507042254
whole milk,whipped/sour cream,0.195652174
whipped/sour cream,whole milk,0.204255319
other vegetables,whipped/sour cream,0.075669995
whipped/sour cream,yogurt,0.352112676
whipped/sour cream,other vegetables,0.490196078
other vegetables,whipped/sour cream,0.234192037
whipped/sour cream,other vegetables,0.141843972
yogurt,whipped/sour cream,0.072886297
whole milk,yogurt,0.297554348
whole milk,other vegetables,0.397459165
other vegetables,whole milk,0.512880562
whole milk,other vegetables,0.087146836
other vegetables,whole milk,0.11508145
yogurt,whole milk,0.159620991
rolls/buns,whole milk,0.523012552
rolls/buns,root vegetables,0.224416517
root vegetables,rolls/buns,0.25987526
rolls/buns,root vegetables,0.06909895
root vegetables,rolls/buns,0.116604478
rolls/buns,whole milk,0.446280992
rolls/buns,tropical fruit,0.193895871
tropical fruit,rolls/buns,0.259615385
tropical fruit,rolls/buns,0.104651163
rolls/buns,yogurt,0.274685817
rolls/buns,whole milk,0.452662722
whole milk,rolls/buns,0.277676951
rolls/buns,whole milk,0.084577114
whole milk,rolls/buns,0.060883406
yogurt,rolls/buns,0.111516035
root vegetables,whole milk,0.570048309
root vegetables,tropical fruit,0.245322245
tropical fruit,root vegetables,0.283653846
root vegetables,tropical fruit,0.110074627
tropical fruit,root vegetables,0.114341085
root vegetables,yogurt,0.297297297
root vegetables,whole milk,0.562992126
whole milk,root vegetables,0.259528131
root vegetables,whole milk,0.133395522
yogurt,root vegetables,0.104227405
soda,yogurt,0.26142132
soda,whole milk,0.382899628
whole milk,soda,0.186932849
soda,whole milk,0.060058309
yogurt,soda,0.075072886
tropical fruit,yogurt,0.358173077
tropical fruit,whole milk,0.517361111
whole milk,tropical fruit,0.270417423
tropical fruit,whole milk,0.144379845
yogurt,tropical fruit,0.108600583
whipped/sour cream,yogurt,0.337539432
whipped/sour cream,whole milk,0.524509804
whole milk,whipped/sour cream,0.194192377
whipped/sour cream,whole milk,0.15177305
yogurt,whipped/sour cream,0.077988338
